medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Silver Medal,NASOVA Joji,Male,FIJ,Fiji,FIJ,Fiji,Men,2000-06-09
Silver Medal,TALACOLO Joseva,Male,FIJ,Fiji,FIJ,Fiji,Men,1997-04-01
Silver Medal,MATANA Jeremaia,Male,FIJ,Fiji,FIJ,Fiji,Men,1998-07-14
Silver Medal,MOCENACAGI Sevuloni,Male,FIJ,Fiji,FIJ,Fiji,Men,1990-06-29
Silver Medal,BALEIWAIRIKI Iosefo,Male,FIJ,Fiji,FIJ,Fiji,Men,1998-05-09
Silver Medal,LOGANIMASI Ponipate,Male,FIJ,Fiji,FIJ,Fiji,Men,1998-03-26
Silver Medal,VEILAWA Terio Tamani,Male,FIJ,Fiji,FIJ,Fiji,Men,1994-07-06
Silver Medal,NACUQU Waisea,Male,FIJ,Fiji,FIJ,Fiji,Men,1993-05-24
Silver Medal,TUWAI Jerry,Male,FIJ,Fiji,FIJ,Fiji,Men,1989-03-23
Silver Medal,TEBA Iowane,Male,FIJ,Fiji,FIJ,Fiji,Men,1993-02-23
Silver Medal,RASAKU Kaminieli,Male,FIJ,Fiji,FIJ,Fiji,Men,1999-07-12
Silver Medal,RAVUTAUMADA Selesitino,Male,FIJ,Fiji,FIJ,Fiji,Men,2000-01-17
Silver Medal,JOSAIA Raisuqe,Male,FIJ,Fiji,FIJ,Fiji,Men,1994-07-22
Silver Medal,SAUTURAGA Filipe,Male,FIJ,Fiji,FIJ,Fiji,Men,1994-06-19
Bronze Medal,GROBBELAAR Christie,Male,RSA,South Africa,RSA,South Africa,Men,2000-05-25
Bronze Medal,OOSTHUIZEN Ryan,Male,RSA,South Africa,RSA,South Africa,Men,1995-05-22
Bronze Medal,VISSER Impi,Male,RSA,South Africa,RSA,South Africa,Men,1995-05-30
Bronze Medal,DAVIDS Zain,Male,RSA,South Africa,RSA,South Africa,Men,1997-05-04
Bronze Medal,NORTJE Quewin,Male,RSA,South Africa,RSA,South Africa,Men,2003-01-14
Bronze Medal,PRETORIUS Tiaan,Male,RSA,South Africa,RSA,South Africa,Men,2001-02-19
Bronze Medal,LEYDS Tristan,Male,RSA,South Africa,RSA,South Africa,Men,1997-05-24
Bronze Medal,DAVIDS Selvyn,Male,RSA,South Africa,RSA,South Africa,Men,1994-03-26
Bronze Medal,WILLIAMS Shaun,Male,RSA,South Africa,RSA,South Africa,Men,1998-04-13
Bronze Medal,SPECMAN Rosko,Male,RSA,South Africa,RSA,South Africa,Men,1989-04-28
Bronze Medal,SOYIZWAPI Siviwe,Male,RSA,South Africa,RSA,South Africa,Men,1992-12-07
Bronze Medal,van WYK Shilton,Male,RSA,South Africa,RSA,South Africa,Men,1999-12-22
Bronze Medal,BROWN Ronald,Male,RSA,South Africa,RSA,South Africa,Men,1995-09-02
Gold Medal,HUANG Yuting,Female,CHN,China,CHN,China,10m Air Rifle Mixed Team,2006-09-03
Gold Medal,SHENG Lihao,Male,CHN,China,CHN,China,10m Air Rifle Mixed Team,2004-12-04
Silver Medal,KEUM Jihyeon,Female,KOR,Korea,KOR,Korea,10m Air Rifle Mixed Team,2000-03-17
Silver Medal,PARK Hajun,Male,KOR,Korea,KOR,Korea,10m Air Rifle Mixed Team,2000-04-19
Bronze Medal,LE Alexandra,Female,KAZ,Kazakhstan,KAZ,Kazakhstan,10m Air Rifle Mixed Team,2004-05-03
Bronze Medal,SATPAYEV Islam,Male,KAZ,Kazakhstan,KAZ,Kazakhstan,10m Air Rifle Mixed Team,1998-09-21
Gold Medal,HELD Ryan,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,1995-06-27
Gold Medal,KING Matt,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,2002-02-19
Gold Medal,ARMSTRONG Hunter,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,2001-01-24
Gold Medal,DRESSEL Caeleb,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,1996-08-16
Gold Medal,ALEXY Jack,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,2003-01-19
Gold Medal,GUILIANO Chris,Male,USA,United States,USA,United States,Men's 4 x 100m Freestyle Relay,2003-06-25
Silver Medal,CARTWRIGHT Jack,Male,AUS,Australia,AUS,Australia,Men's 4 x 100m Freestyle Relay,1998-09-22
Silver Medal,YANG William,Male,AUS,Australia,AUS,Australia,Men's 4 x 100m Freestyle Relay,1998-10-11
Silver Medal,SOUTHAM Flynn,Male,AUS,Australia,AUS,Australia,Men's 4 x 100m Freestyle Relay,2005-06-05
Silver Medal,CHALMERS Kyle,Male,AUS,Australia,AUS,Australia,Men's 4 x 100m Freestyle Relay,1998-06-25
Silver Medal,TAYLOR Kai,Male,AUS,Australia,AUS,Australia,Men's 4 x 100m Freestyle Relay,2003-08-18
Bronze Medal,ZAZZERI Lorenzo,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,1994-08-09
Bronze Medal,DEPLANO Leonardo,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,1999-07-21
Bronze Medal,CONTE BONIN Paolo,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,2002-02-09
Bronze Medal,FRIGO Manuel,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,1997-02-18
Bronze Medal,CECCON Thomas,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,2001-01-27
Bronze Medal,MIRESSI Alessandro,Male,ITA,Italy,ITA,Italy,Men's 4 x 100m Freestyle Relay,1998-10-02
Gold Medal,WUNSCH Olivia,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,2006-05-31
Gold Medal,CAMPBELL Bronte,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,1994-05-14
Gold Medal,HARRIS Meg,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,2002-03-07
Gold Medal,McKEON Emma,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,1994-05-24
Gold Medal,JACK Shayna,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,1998-11-06
Gold Medal,O'CALLAGHAN Mollie,Female,AUS,Australia,AUS,Australia,Women's 4 x 100m Freestyle Relay,2004-04-02
Silver Medal,WEITZEIL Abbey,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,1996-12-03
Silver Medal,MANUEL Simone,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,1996-08-02
Silver Medal,CONNOLLY Erika,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,1998-08-27
Silver Medal,DOUGLASS Kate,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,2001-11-17
Silver Medal,HUSKE Torri,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,2002-12-07
Silver Medal,WALSH Gretchen,Female,USA,United States,USA,United States,Women's 4 x 100m Freestyle Relay,2003-01-29
Bronze Medal,CHENG Yujie,Female,CHN,China,CHN,China,Women's 4 x 100m Freestyle Relay,2005-09-22
Bronze Medal,WU Qingfeng,Female,CHN,China,CHN,China,Women's 4 x 100m Freestyle Relay,2003-01-28
Bronze Medal,YU Yiting,Female,CHN,China,CHN,China,Women's 4 x 100m Freestyle Relay,2005-09-05
Bronze Medal,YANG Junxuan,Female,CHN,China,CHN,China,Women's 4 x 100m Freestyle Relay,2002-01-26
Bronze Medal,ZHANG Yufei,Female,CHN,China,CHN,China,Women's 4 x 100m Freestyle Relay,1998-04-19
Gold Medal,JEON Hunyoung,Female,KOR,Korea,KOR,Korea,Women's Team,1994-05-29
Gold Medal,LIM Sihyeon,Female,KOR,Korea,KOR,Korea,Women's Team,2003-06-13
Gold Medal,NAM Suhyeon,Female,KOR,Korea,KOR,Korea,Women's Team,2005-01-27
Silver Medal,AN Qixuan,Female,CHN,China,CHN,China,Women's Team,2000-12-03
Silver Medal,LI Jiaman,Female,CHN,China,CHN,China,Women's Team,1997-08-18
Silver Medal,YANG Xiaolei,Female,CHN,China,CHN,China,Women's Team,2000-06-28
Bronze Medal,RUIZ Angela,Female,MEX,Mexico,MEX,Mexico,Women's Team,2006-07-28
Bronze Medal,VALENCIA Alejandra,Female,MEX,Mexico,MEX,Mexico,Women's Team,1994-10-17
Bronze Medal,VAZQUEZ Ana,Female,MEX,Mexico,MEX,Mexico,Women's Team,2000-10-05
Gold Medal,KIM Je Deok,Male,KOR,Korea,KOR,Korea,Men's Team,2004-04-12
Gold Medal,KIM Woojin,Male,KOR,Korea,KOR,Korea,Men's Team,1992-06-20
Gold Medal,LEE Wooseok,Male,KOR,Korea,KOR,Korea,Men's Team,1997-08-07
Silver Medal,ADDIS Baptiste,Male,FRA,France,FRA,France,Men's Team,2006-12-07
Silver Medal,CHIRAULT Thomas,Male,FRA,France,FRA,France,Men's Team,1997-09-15
Silver Medal,VALLADONT Jean-Charles,Male,FRA,France,FRA,France,Men's Team,1989-03-20
Bronze Medal,GAZOZ Mete,Male,TUR,Türkiye,TUR,Türkiye,Men's Team,1999-06-08
Bronze Medal,TUMER Berkim,Male,TUR,Türkiye,TUR,Türkiye,Men's Team,2002-04-30
Bronze Medal,YILDIRMIS Abdullah,Male,TUR,Türkiye,TUR,Türkiye,Men's Team,2003-11-07
Gold Medal,HASHIMOTO Daiki,Male,JPN,Japan,JPN,Japan,Men's Team,2001-08-07
Gold Medal,KAYA Kazuma,Male,JPN,Japan,JPN,Japan,Men's Team,1996-11-19
Gold Medal,OKA Shinnosuke,Male,JPN,Japan,JPN,Japan,Men's Team,2003-10-31
Gold Medal,SUGINO Takaaki,Male,JPN,Japan,JPN,Japan,Men's Team,1998-10-18
Gold Medal,TANIGAWA Wataru,Male,JPN,Japan,JPN,Japan,Men's Team,1996-07-23
Silver Medal,LIU Yang,Male,CHN,China,CHN,China,Men's Team,1994-08-11
Silver Medal,SU Weide,Male,CHN,China,CHN,China,Men's Team,2000-03-19
Silver Medal,XIAO Ruoteng,Male,CHN,China,CHN,China,Men's Team,1996-01-30
Silver Medal,ZHANG Boheng,Male,CHN,China,CHN,China,Men's Team,2000-03-04
Silver Medal,ZOU Jingyuan,Male,CHN,China,CHN,China,Men's Team,1998-01-03
Bronze Medal,HONG Asher,Male,USA,United States,USA,United States,Men's Team,2004-03-23
Bronze Medal,JUDA Paul,Male,USA,United States,USA,United States,Men's Team,2001-07-07
Bronze Medal,MALONE Brody,Male,USA,United States,USA,United States,Men's Team,2000-01-07
Bronze Medal,NEDOROSCIK Stephen,Male,USA,United States,USA,United States,Men's Team,1998-10-28
Bronze Medal,RICHARD Frederick,Male,USA,United States,USA,United States,Men's Team,2004-04-23
Gold Medal,LIAN Junjie,Male,CHN,China,CHN,China,Men's Synchronised 10m Platform,2000-11-03
Gold Medal,YANG Hao,Male,CHN,China,CHN,China,Men's Synchronised 10m Platform,1998-02-03
Silver Medal,DALEY Thomas,Male,GBR,Great Britain,GBR,Great Britain,Men's Synchronised 10m Platform,1994-05-21
Silver Medal,WILLIAMS Noah,Male,GBR,Great Britain,GBR,Great Britain,Men's Synchronised 10m Platform,2000-05-15
Bronze Medal,WIENS Rylan,Male,CAN,Canada,CAN,Canada,Men's Synchronised 10m Platform,2002-01-02
Bronze Medal,ZSOMBOR-MURRAY Nathan,Male,CAN,Canada,CAN,Canada,Men's Synchronised 10m Platform,2003-04-28
Gold Medal,McEWEN Tom,Male,GBR,Great Britain,GBR,Great Britain,Eventing Team,1991-05-10
Gold Medal,COLLETT Laura,Female,GBR,Great Britain,GBR,Great Britain,Eventing Team,1989-08-31
Gold Medal,CANTER Rosalind,Female,GBR,Great Britain,GBR,Great Britain,Eventing Team,1986-01-13
Gold Medal,INGHAM Yasmin,Female,GBR,Great Britain,GBR,Great Britain,Eventing Team,1997-05-13
Silver Medal,LAGHOUAG Karim Florent,Male,FRA,France,FRA,France,Eventing Team,1975-08-04
Silver Medal,LANDOIS Stephane,Male,FRA,France,FRA,France,Eventing Team,1994-06-03
Silver Medal,TOUZAINT Nicolas,Male,FRA,France,FRA,France,Eventing Team,1980-05-10
Silver Medal,le COZ Gireg,Male,FRA,France,FRA,France,Eventing Team,1989-03-14
Bronze Medal,KITAJIMA Ryuzo,Male,JPN,Japan,JPN,Japan,Eventing Team,1985-10-23
Bronze Medal,OIWA Yoshiaki,Male,JPN,Japan,JPN,Japan,Eventing Team,1976-07-19
Bronze Medal,TOMOTO Kazuma,Male,JPN,Japan,JPN,Japan,Eventing Team,1983-06-05
Bronze Medal,TANAKA Toshiyuki,Male,JPN,Japan,JPN,Japan,Eventing Team,1985-02-02
Gold Medal,BILES Simone,Female,USA,United States,USA,United States,Women's Team,1997-03-14
Gold Medal,CAREY Jade,Female,USA,United States,USA,United States,Women's Team,2000-05-27
Gold Medal,CHILES Jordan,Female,USA,United States,USA,United States,Women's Team,2001-04-15
Gold Medal,LEE Sunisa,Female,USA,United States,USA,United States,Women's Team,2003-03-09
Gold Medal,RIVERA Hezly,Female,USA,United States,USA,United States,Women's Team,2008-06-04
Silver Medal,ANDREOLI Angela,Female,ITA,Italy,ITA,Italy,Women's Team,2006-06-06
Silver Medal,D'AMATO Alice,Female,ITA,Italy,ITA,Italy,Women's Team,2003-02-07
Silver Medal,ESPOSITO Manila,Female,ITA,Italy,ITA,Italy,Women's Team,2006-11-02
Silver Medal,IORIO Elisa,Female,ITA,Italy,ITA,Italy,Women's Team,2003-03-21
Silver Medal,VILLA Giorgia,Female,ITA,Italy,ITA,Italy,Women's Team,2003-02-23
Bronze Medal,ANDRADE Rebeca,Female,BRA,Brazil,BRA,Brazil,Women's Team,1999-05-08
Bronze Medal,BARBOSA Jade,Female,BRA,Brazil,BRA,Brazil,Women's Team,1991-07-01
Bronze Medal,OLIVEIRA Lorrane,Female,BRA,Brazil,BRA,Brazil,Women's Team,1998-04-13
Bronze Medal,SARAIVA Flavia,Female,BRA,Brazil,BRA,Brazil,Women's Team,1999-09-30
Bronze Medal,SOARES Julia,Female,BRA,Brazil,BRA,Brazil,Women's Team,2005-08-23
Gold Medal,FIAMINGO Rossella,Female,ITA,Italy,ITA,Italy,Women's Épée Team,1991-07-14
Gold Medal,RIZZI Giulia,Female,ITA,Italy,ITA,Italy,Women's Épée Team,1989-06-20
Gold Medal,SANTUCCIO Alberta,Female,ITA,Italy,ITA,Italy,Women's Épée Team,1994-10-22
Gold Medal,NAVARRIA Mara,Female,ITA,Italy,ITA,Italy,Women's Épée Team,1985-07-18
Silver Medal,VITALIS Coraline,Female,FRA,France,FRA,France,Women's Épée Team,1995-05-09
Silver Medal,MALLO-BRETON Auriane,Female,FRA,France,FRA,France,Women's Épée Team,1993-10-11
Silver Medal,CANDASSAMY Marie-Florence,Female,FRA,France,FRA,France,Women's Épée Team,1991-02-26
Silver Medal,LOUIS-MARIE Alexandra,Female,FRA,France,FRA,France,Women's Épée Team,1996-03-03
Bronze Medal,KNAPIK-MIAZGA Renata,Female,POL,Poland,POL,Poland,Women's Épée Team,1988-07-15
Bronze Medal,SWATOWSKA-WENGLARCZYK Martyna,Female,POL,Poland,POL,Poland,Women's Épée Team,1994-07-08
Bronze Medal,KLASIK Alicja,Female,POL,Poland,POL,Poland,Women's Épée Team,2004-02-14
Bronze Medal,JARECKA Aleksandra,Female,POL,Poland,POL,Poland,Women's Épée Team,1995-10-11
Gold Medal,POURI-LANE Risi,Female,NZL,New Zealand,NZL,New Zealand,Women,2000-05-28
Gold Medal,MILLER Jorja,Female,NZL,New Zealand,NZL,New Zealand,Women,2004-02-08
Gold Medal,WAAKA Stacey,Female,NZL,New Zealand,NZL,New Zealand,Women,1995-11-03
Gold Medal,NUKU Manaia,Female,NZL,New Zealand,NZL,New Zealand,Women,2002-09-03
Gold Medal,HIRINI Sarah,Female,NZL,New Zealand,NZL,New Zealand,Women,1992-12-09
Gold Medal,BLYDE Michaela,Female,NZL,New Zealand,NZL,New Zealand,Women,1995-12-29
Gold Medal,KING Tyla,Female,NZL,New Zealand,NZL,New Zealand,Women,1994-07-01
Gold Medal,PAUL Mahina,Female,NZL,New Zealand,NZL,New Zealand,Women,2001-04-19
Gold Medal,FELIX-HOTHAM Jazmin,Female,NZL,New Zealand,NZL,New Zealand,Women,2000-07-02
Gold Medal,SETEFANO Theresa,Female,NZL,New Zealand,NZL,New Zealand,Women,1995-02-25
Gold Medal,WOODMAN-WICKLIFFE Portia,Female,NZL,New Zealand,NZL,New Zealand,Women,1991-07-12
Gold Medal,SAILI Alena,Female,NZL,New Zealand,NZL,New Zealand,Women,1998-12-13
Silver Medal,CROSSLEY Caroline,Female,CAN,Canada,CAN,Canada,Women,1998-04-19
Silver Medal,APPS Olivia,Female,CAN,Canada,CAN,Canada,Women,1998-12-01
Silver Medal,CORRIGAN Alysha,Female,CAN,Canada,CAN,Canada,Women,1997-01-25
Silver Medal,HOGAN-ROCHESTER Asia,Female,CAN,Canada,CAN,Canada,Women,1999-04-20
Silver Medal,DANIELS Chloe,Female,CAN,Canada,CAN,Canada,Women,2003-04-27
Silver Medal,WILLIAMS Charity,Female,CAN,Canada,CAN,Canada,Women,1996-10-20
Silver Medal,SYMONDS Florence,Female,CAN,Canada,CAN,Canada,Women,2002-05-20
Silver Medal,NORSTEN Carissa,Female,CAN,Canada,CAN,Canada,Women,2003-11-07
Silver Medal,SCURFIELD Krissy,Female,CAN,Canada,CAN,Canada,Women,2003-06-15
Silver Medal,BERMUDEZ Fancy,Female,CAN,Canada,CAN,Canada,Women,2002-05-27
Silver Medal,LOGAN Piper,Female,CAN,Canada,CAN,Canada,Women,2001-07-13
Silver Medal,WARDLEY Keyara,Female,CAN,Canada,CAN,Canada,Women,2000-01-27
Silver Medal,PERRY Taylor,Female,CAN,Canada,CAN,Canada,Women,2000-07-23
Silver Medal,VALENZUELA Shalaya,Female,CAN,Canada,CAN,Canada,Women,1999-06-12
Bronze Medal,RAMSEY Ariana,Female,USA,United States,USA,United States,Women,2000-03-25
Bronze Medal,MAHER Ilona,Female,USA,United States,USA,United States,Women,1996-08-12
Bronze Medal,CANETT Kayla,Female,USA,United States,USA,United States,Women,1998-04-29
Bronze Medal,SULLIVAN Sammy,Female,USA,United States,USA,United States,Women,1998-05-22
Bronze Medal,KELTER Alev,Female,USA,United States,USA,United States,Women,1991-03-21
Bronze Medal,DOYLE Lauren,Female,USA,United States,USA,United States,Women,1991-02-23
Bronze Medal,TAPPER Naya,Female,USA,United States,USA,United States,Women,1994-08-03
Bronze Medal,SEDRICK Alex,Female,USA,United States,USA,United States,Women,1998-02-28
Bronze Medal,OLSEN Alena,Female,USA,United States,USA,United States,Women,1995-12-06
Bronze Medal,ROVETTI Steph,Female,USA,United States,USA,United States,Women,1991-10-02
Bronze Medal,LEVY Sarah,Female,USA,United States,USA,United States,Women,1995-12-27
Bronze Medal,KIRSHE Kristi,Female,USA,United States,USA,United States,Women,1994-10-14
Gold Medal,ARUNOVIC Zorana,Female,SRB,Serbia,SRB,Serbia,10m Air Pistol Mixed Team,1986-11-22
Gold Medal,MIKEC Damir,Male,SRB,Serbia,SRB,Serbia,10m Air Pistol Mixed Team,1984-03-31
Silver Medal,TARHAN Sevval Ilayda,Female,TUR,Türkiye,TUR,Türkiye,10m Air Pistol Mixed Team,2000-02-04
Silver Medal,DIKEC Yusuf,Male,TUR,Türkiye,TUR,Türkiye,10m Air Pistol Mixed Team,1973-01-01
Bronze Medal,BHAKER Manu,Female,IND,India,IND,India,10m Air Pistol Mixed Team,2002-02-18
Bronze Medal,SINGH Sarabjot,Male,IND,India,IND,India,10m Air Pistol Mixed Team,2001-09-30
Gold Medal,GUY James,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,1995-11-26
Gold Medal,McMILLAN Jack,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,2000-01-14
Gold Medal,BIRD Kieran,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,1999-09-02
Gold Medal,DEAN Tom,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,2000-05-02
Gold Medal,RICHARDS Matthew,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,2002-12-17
Gold Medal,SCOTT Duncan,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 200m Freestyle Relay,1997-05-06
Silver Medal,KIBLER Drew,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2000-03-09
Silver Medal,CURRY Brooks,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2001-01-20
Silver Medal,PIERONI Blake,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,1995-11-15
Silver Medal,GUILIANO Chris,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2003-06-25
Silver Medal,FOSTER Carson,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2001-10-26
Silver Medal,HOBSON Luke,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2003-06-25
Silver Medal,SMITH Kieran,Male,USA,United States,USA,United States,Men's 4 x 200m Freestyle Relay,2000-05-20
Bronze Medal,TAYLOR Kai,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,2003-08-18
Bronze Medal,INCERTI Zac,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,1996-07-13
Bronze Medal,SOUTHAM Flynn,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,2005-06-05
Bronze Medal,NEILL Thomas,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,2002-06-09
Bronze Medal,GIULIANI Maximillian,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,2003-07-03
Bronze Medal,WINNINGTON Elijah,Male,AUS,Australia,AUS,Australia,Men's 4 x 200m Freestyle Relay,2000-05-05
Gold Medal,WANG Chuqin,Male,CHN,China,CHN,China,Mixed Doubles,2000-05-11
Gold Medal,SUN Yingsha,Female,CHN,China,CHN,China,Mixed Doubles,2000-11-04
Silver Medal,RI Jong Sik,Male,PRK,DPR Korea,PRK,DPR Korea,Mixed Doubles,2000-02-14
Silver Medal,KIM Kum Yong,Female,PRK,DPR Korea,PRK,DPR Korea,Mixed Doubles,2001-08-17
Bronze Medal,LIM Jonghoon,Male,KOR,Korea,KOR,Korea,Mixed Doubles,1997-01-21
Bronze Medal,SHIN Yubin,Female,KOR,Korea,KOR,Korea,Mixed Doubles,2004-07-05
Gold Medal,CHEN Yuxi,Female,CHN,China,CHN,China,Women's Synchronised 10m Platform,2005-09-11
Gold Medal,QUAN Hongchan,Female,CHN,China,CHN,China,Women's Synchronised 10m Platform,2007-03-28
Silver Medal,JO Jin Mi,Female,PRK,DPR Korea,PRK,DPR Korea,Women's Synchronised 10m Platform,2004-11-15
Silver Medal,KIM Mi Rae,Female,PRK,DPR Korea,PRK,DPR Korea,Women's Synchronised 10m Platform,2001-04-07
Bronze Medal,SPENDOLINI SIRIEIX Andrea,Female,GBR,Great Britain,GBR,Great Britain,Women's Synchronised 10m Platform,2004-09-11
Bronze Medal,TOULSON Lois,Female,GBR,Great Britain,GBR,Great Britain,Women's Synchronised 10m Platform,1999-09-26
Gold Medal,GU Bongil,Male,KOR,Korea,KOR,Korea,Men's Sabre Team,1989-04-27
Gold Medal,OH Sanguk,Male,KOR,Korea,KOR,Korea,Men's Sabre Team,1996-09-30
Gold Medal,PARK Sangwon,Male,KOR,Korea,KOR,Korea,Men's Sabre Team,2000-09-14
Gold Medal,DO Gyeongdong,Male,KOR,Korea,KOR,Korea,Men's Sabre Team,1999-08-19
Silver Medal,GEMESI Csanad,Male,HUN,Hungary,HUN,Hungary,Men's Sabre Team,1986-11-13
Silver Medal,SZILAGYI Aron,Male,HUN,Hungary,HUN,Hungary,Men's Sabre Team,1990-01-14
Silver Medal,SZATMARI Andras,Male,HUN,Hungary,HUN,Hungary,Men's Sabre Team,1993-02-03
Silver Medal,RABB Krisztian,Male,HUN,Hungary,HUN,Hungary,Men's Sabre Team,2001-11-10
Bronze Medal,APITHY Bolade,Male,FRA,France,FRA,France,Men's Sabre Team,1985-08-21
Bronze Medal,PIANFETTI Maxime,Male,FRA,France,FRA,France,Men's Sabre Team,1999-03-15
Bronze Medal,PATRICE Sebastien,Male,FRA,France,FRA,France,Men's Sabre Team,2000-04-07
Bronze Medal,PATRICE Jean-Philippe,Male,FRA,France,FRA,France,Men's Sabre Team,1997-03-12
Gold Medal,van LIEROP Lennart,Male,NED,Netherlands,NED,Netherlands,Men's Quadruple Sculls,1994-05-20
Gold Medal,FLORIJN Finn,Male,NED,Netherlands,NED,Netherlands,Men's Quadruple Sculls,1999-11-29
Gold Medal,WIETEN Tone,Male,NED,Netherlands,NED,Netherlands,Men's Quadruple Sculls,1994-03-17
Gold Medal,METSEMAKERS Koen,Male,NED,Netherlands,NED,Netherlands,Men's Quadruple Sculls,1992-04-30
Silver Medal,CHIUMENTO Luca,Male,ITA,Italy,ITA,Italy,Men's Quadruple Sculls,1997-11-19
Silver Medal,RAMBALDI Luca,Male,ITA,Italy,ITA,Italy,Men's Quadruple Sculls,1994-12-09
Silver Medal,PANIZZA Andrea,Male,ITA,Italy,ITA,Italy,Men's Quadruple Sculls,1998-07-14
Silver Medal,GENTILI Giacomo,Male,ITA,Italy,ITA,Italy,Men's Quadruple Sculls,1997-07-03
Bronze Medal,CZAJA Dominik,Male,POL,Poland,POL,Poland,Men's Quadruple Sculls,1995-08-12
Bronze Medal,BISKUP Mateusz,Male,POL,Poland,POL,Poland,Men's Quadruple Sculls,1994-02-08
Bronze Medal,ZIETARSKI Miroslaw,Male,POL,Poland,POL,Poland,Men's Quadruple Sculls,1993-03-09
Bronze Medal,BARANSKI Fabian,Male,POL,Poland,POL,Poland,Men's Quadruple Sculls,1999-05-27
Gold Medal,HENRY Lauren,Female,GBR,Great Britain,GBR,Great Britain,Women's Quadruple Sculls,2001-12-21
Gold Medal,SCOTT Hannah,Female,GBR,Great Britain,GBR,Great Britain,Women's Quadruple Sculls,1999-06-18
Gold Medal,ANDERSON Lola,Female,GBR,Great Britain,GBR,Great Britain,Women's Quadruple Sculls,1998-04-16
Gold Medal,BRAYSHAW Georgina,Female,GBR,Great Britain,GBR,Great Britain,Women's Quadruple Sculls,1993-10-14
Silver Medal,YOUSSIFOU Laila,Female,NED,Netherlands,NED,Netherlands,Women's Quadruple Sculls,1996-01-02
Silver Medal,PAULIS Bente,Female,NED,Netherlands,NED,Netherlands,Women's Quadruple Sculls,1997-02-14
Silver Medal,de JONG Roos,Female,NED,Netherlands,NED,Netherlands,Women's Quadruple Sculls,1993-08-23
Silver Medal,DULLEMANS Tessa,Female,NED,Netherlands,NED,Netherlands,Women's Quadruple Sculls,1997-07-02
Bronze Medal,VOELZ Maren,Female,GER,Germany,GER,Germany,Women's Quadruple Sculls,1999-11-20
Bronze Medal,SCHENDEKEHL Tabea,Female,GER,Germany,GER,Germany,Women's Quadruple Sculls,1998-11-29
Bronze Medal,MENZEL Leonie,Female,GER,Germany,GER,Germany,Women's Quadruple Sculls,1999-05-19
Bronze Medal,GREITEN Pia,Female,GER,Germany,GER,Germany,Women's Quadruple Sculls,1997-02-18
Gold Medal,SCRUGGS Lauren,Female,USA,United States,USA,United States,Women's Foil Team,2003-01-27
Gold Medal,KIEFER Lee,Female,USA,United States,USA,United States,Women's Foil Team,1994-06-15
Gold Medal,DUBROVICH Jacqueline,Female,USA,United States,USA,United States,Women's Foil Team,1994-07-18
Gold Medal,WEINTRAUB Maia Mei,Female,USA,United States,USA,United States,Women's Foil Team,2002-10-24
